Symbol	Description
ANM.AX	Australian Magnesium Corporation Ltd
ANN.AX	Ansell Ltd
ANO.AX	Advanced Nanotechnology Ltd
ANP.AX	Antisense Therapeutics Ltd
ANPO.AX	ANPO
ANQ.AX	Anaeco Ltd
ANQOA.AX	Anaeco Ltd
ANW.AX	Ausnico Limited
ANZ.AX	Australia & NZ Banking Group Ltd
ANZKZL.AX	Australia & NZ Banking Group Ltd
ANZKZM.AX	Australia & NZ Banking Group Ltd
ANZKZN.AX	Australia And New Zealand Banking Group Limited
ANZKZT.AX	Australia & NZ Banking Group Ltd
ANZKZX.AX	Australia And New Zealand Banking Group Limited
ANZMMI.AX	Australia & NZ Banking Group Ltd
ANZPA.AX	ANZ Bank Perf
ANZPB.AX	Australia & NZ Banking Group Ltd
ANZTMA.AX	Australia And New Zealand Banking Group Limited
ANZTMC.AX	Australia And New Zealand Banking Group Limited
ANZUMA.AX	Australia And New Zealand Banking Group Limited
ANZUMB.AX	Australia And New Zealand Banking Group Limited
AOA.AX	
AOC.AX	Australian Oil Company Ltd
AOCOA.AX	Australian Oil Company Limited
AOD.AX	Aurora Sandringham Dividend Income Trust
AOH.AX	Altona Mining Limited
AOK.AX	Austex Oil Ltd
AOKO.AX	Austex Oil Limited
AOM.AX	Australia Oriental Minerals NL
AON.AX	Apollo Minerals Ltd
AONO.AX	Apollo Minerals Ltd
AOP.AX	Apollo Life Sciences Ltd
APA.AX	Australian Pipeline Trust
APB.AX	Arafura Pearls Holdings Ltd
APBO.AX	Arafura Pearls Holdings Limited
APD.AX	APN Property Group Ltd
APE.AX	AP Eagers Holdings Ltd
APG.AX	Austpac Gold Resources NL
APH.AX	Ascent Pharmahealth Ltd
API.AX	Australian Pharmaceutical Ind Ltd
APK.AX	Australian Power & Gas Company Ltd
APN.AX	APN News & Media Ltd
APP.AX	APA Financial Services Ltd
APZ.AX	Aspen Group
AQA.AX	Aquila Resources Ltd
AQC.AX	Australian Pacific Coal Limited
AQD.AX	AusQuest Ltd
AQF.AX	Australian Governance Masters Index Fund Limited
AQG.AX	Anatolia Minerals Development Limited
AQP.AX	Aquarius Platinum Ltd (Bermuda)
AQQ.AX	Aphrodite Gold Limited
AQQO.AX	Aphrodite Gold Limited
AQR.AX	Aussie Q Resources Ltd
ARA.AX	Ariadne Australia Ltd
ARD.AX	Argent Minerials Lts
ARDO.AX	Argent Minerials Lts
ARE.AX	Argonaut Resources NL
ARG.AX	Argo Investments Ltd
ARH.AX	Australasian Resources Ltd
ARJ.AX	Ark Fund Ltd
ARM.AX	Aurora Minerals Ltd
ARO.AX	Astro Diamond Mines NL
AROOB.AX	Macquarie Goodman Group
ARP.AX	ARB Corporation Ltd
ARR.AX	Arasor International Ltd
ARU.AX	Arafura Resources NL
ARV.AX	Artemis Resources Ltd
ARVOB.AX	Artemis Resources Limited
ARW.AX	Australian Renewable Fuels Ltd
ARWO.AX	Australian Renewable Fuels Limited
ARX.AX	Austindo Resources Corporation NL
ARXO.AX	Austindo Resources Corporation NL
ASB.AX	Austal Ltd
ASL.AX	Ausdrill Ltd
ASP.AX	Aspermont Ltd
ASQ.AX	Asset Loans Ltd
ASR.AX	Australian Rural Group Ltd
ASU.AX	Alpha Technologies Corporation Ltd
ASW.AX	Advanced Share Registry Ltd
ASX.AX	Australian Stock Exchange Ltd
ASXKZI.AX	Australian Stock Exchange Ltd
ASXMMI.AX	Australian Stock Exchange Ltd
ASXUMD.AX	Asx Limited
ASXUMQ.AX	Asx Limited
ASZ.AX	ASG Group Ltd
ATH.AX	Atech Holdings Ltd
ATI.AX	Atlantic Ltd
ATIO.AX	Atlantic Ltd
ATJ.AX	Automative Technology Group Ltd
ATJO.AX	Automotive Technology Group Limited
ATJOA.AX	Automotive Technology Group Limited
ATM.AX	Aneka Tambang (Persero) Tbk (Indo)
ATN.AX	Ashburton Minerals Ltd
ATP.AX	Atlas Pacific Ltd
ATQ.AX	Atomic Resouorces Ltd
ATQO.AX	Atomic Resouorces Ltd
ATR.AX	Astron Ltd
ATV.AX	Atlantic Gold NL
ATVCD.AX	Atlantic Gold NL
ATW.AX	ATOS Wellness Ltd
AUB.AX	Austbrokers Holdings Ltd
AUC.AX	Ausgold Limited
AUCO.AX	Ausgold Limited
AUF.AX	Asian Masters Fund Ltd
AUI.AX	Australian United Investment Ltd
AUJ.AX	Augustus Minerals Ltd
AUK.AX	Augur Resources Ltd
AUN.AX	Austar United Communications Ltd
AUP.AX	Aurora Property Income Trust
AUQ.AX	Alara Uranium Ltd
AUT.AX	Aurora Oil & Gas Ltd
AUV.AX	Australis Mining Corporation Ltd
AUZ.AX	Australian Mines Ltd
AVA.AX	Aviva Corporation Ltd
AVB.AX	Avanco Resources Ltd
AVBOB.AX	Avanco Resources Ltd
AVD.AX	Advance Energy Ltd
AVDG.AX	Advance Energy Limited
AVDOA.AX	Advance Energy Limited
AVG.AX	Australian Vintage Ltd t/over by SWS
AVH.AX	Avita Medical Ltd
AVI.AX	Avalon Minerials Ltd
AVJ.AX	AV Jennings Homes Ltd
AVM.AX	Anvil Mining Ltd (Canada CUFS)
AVO.AX	Avoca Resources Ltd
AVQ.AX	Axiom Mining Ltd
AVS.AX	Avastra Ltd
AVX.AX	Avexa Ltd
AVY.AX	Avenue Resources Limited
AVZ.AX	Avonlea Minerals Ltd
AWC.AX	Alumina Ltd
AWCKZA.AX	Alumina Limited
AWCKZB.AX	Alumina Limited
AWE.AX	Australian Worldwide Exploration Ltd
AXA.AX	AXA Asia Pacific Holdings Ltd
AXAKZE.AX	AXA Asia Pacific Holdings Ltd
AXC.AX	AXG Mining Ltd
AXE.AX	Archer Exploration Ltd
AXI.AX	Axiom Properties Ltd
AXM.AX	Apex Minerals NL
AXMO.AX	Apex Minerals Nl
AXMR.AX	Apex Minerals Nl
AXT.AX	Argo Exploration Ltd
AXZ.AX	AMEX Resources Ltd
AYA.AX	Attila Resources Limited
AYF.AX	Australian Enhanced Income Fund
AYG.AX	AYG
AYN.AX	Alcyone Resources Ltd
AYNOB.AX	Alcyone Resources Ltd
AYR.AX	Alloy Resources Ltd
AYT.AX	Adelaide Managed Funds Asset Trust
AYX.AX	Austofix Group Ltd
AZC.AX	Australian Zircon NL
AZCCA.AX	Australian Zircon NL
AZF.AX	The Australian Social Infrastructure Fund
AZG.AX	Allmine Group Limited
AZH.AX	Azimuth Resources Limited
AZM.AX	Azumah Resources Ltd
AZO.AX	Apollo Gas Limited
AZS.AX	Azure Minerals Ltd
AZT.AX	Aston Resources Limited
AZU.AX	Azurn International Limited
AZX.AX	Auzex Resources Ltd
AZXOA.AX	Auzex Resources Limited
AZZ.AX	Antares Energy Ltd
AZZG.AX	Antares Energy Ltd
BAA.AX	Bailey Minerals Nl
BAO.AX	Brookfield Australian Opportunities Fund
BAR.AX	Barra Resources ltd
BAS.AX	Bass Strait Oil Company Ltd
BAU.AX	Bauxite Resources Ltd
BBG.AX	Billabong International Ltd
BBL.AX	Brisbane Broncos Ltd
BBX.AX	BBX Holdings Ltd
BCC.AX	Buccaneer Energy Ltd
BCCO.AX	Buccaneer Energy Limited
BCD.AX	Beaconsfield Gold NL
BCI.AX	BC Iron Ltd
BCN.AX	Beacon Minerals Ltd
BCO.AX	Bcd Resources (operations) Nl
BCOCC.AX	Bcd Resources (operations) Nl
BCS.AX	Brisconnections Unit Trusts
BDI.AX	Blina Diamonds NL
BDM.AX	Biodiem Ltd
BDMO.AX	Biodiem Limited
BDR.AX	Beadell Resources Ltd
BEC.AX	Becton Property Group Ltd
BECG.AX	Becton Property Group Ltd
BEL.AX	Bentley International Ltd
BEN.AX	Bendigo Bank Ltd
BENPA.AX	Bendigo Bank Ltd
BENPB.AX	Bendigo Bank Ltd
BENPC.AX	Bendigo Bank Ltd
BER.AX	Berklee Ltd
BFE.AX	BLack Fire Energy Ltd
BFG.AX	Bell Financial Group Ltd
BGD.AX	Boulder Steel Ltd
BGDO.AX	Boulder Steel Ltd
BGG.AX	Blackgold International Holdings Limited
BGL.AX	Bigair Group Ltd
BHP.AX	BHP Billiton Ltd
BHPKZB.AX	BHP Billiton Ltd
BHPKZC.AX	BHP Billiton Ltd
BHPKZD.AX	BHP Billiton Ltd
BHPKZE.AX	Bhp Billiton Limited
BHPKZJ.AX	Bhp Billiton Limited
BHPKZP.AX	BHP Billiton Ltd
BHPKZQ.AX	Bhp Billiton Limited
BHPKZR.AX	Bhp Billiton Limited
BHPMMH.AX	BHP Billiton Ltd
BHPMMI.AX	BHP Billiton Ltd
BIC.AX	Biron Capital Ltd
BIS.AX	
BIT.AX	Biotron Ltd
BITO.AX	Biotron Limited
BIV.AX	Blue Capital Limited
BKI.AX	Brickworks Investment Company Ltd
BKL.AX	Blackmores Laboratories Ltd
BKM.AX	BKM Management Ltd
BKN.AX	Bradken Ltd
BKP.AX	Baraka Petroleum Ltd
BKW.AX	Brickworks Ltd
BKY.AX	Berkeley Resources Ltd
BKYO.AX	BKYO
BLD.AX	Boral Ltd
BLDKZR.AX	Boral Limited.
BLG.AX	Blugass Ltd
BLK.AX	Blackham Resources Ltd
BLKO.AX	BLKO
BLR.AX	Black Range Minerals Ltd
BLRO.AX	BLRO
BLT.AX	Benitec Ltd
BLTO.AX	BLTO
BLTOA.AX	Benitec Ltd
BLY.AX	Boart Longyear Ltd
BLYTMC.AX	Boart Longyear Limited
BLZ.AX	Blaze International Ltd
BMG.AX	Brazilian Metals Group Limited.
BML.AX	Bank of Melbourne merger WBC
BMLO.AX	Botswana Metals Limited
BMN.AX	Bannerman Resources Ltd
BMY.AX	Brumby Resources Ltd
BMYOA.AX	Brumby Resources Limited
BMZ.AX	Black Mountain Resources Limited
BNC.AX	Bioniche Life Sciences Inc.
BND.AX	Bandanna Energy Ltd
BNE.AX	Bone Medical Ltd
BNO.AX	Bionomics Ltd
BNR.AX	Bulletin Resources Limited
BNT.AX	Bounty Industries Ltd
BNTO.AX	BNTO
BNV.AX	Brand New Vintage Ltd
BOC.AX	Bougainville Copper Ltd (PNG)
BOD.AX	bioMD Ltd
BODOA.AX	Biomd Limited
BOE.AX	Boss Energy Ltd
BOL.AX	Boom Logistics Ltd
BOM.AX	Bondi Mining Ltd
BOQ.AX	Bank of Queensland Ltd
BOQPC.AX	Bank of Queensland Ltd
BOW.AX	Bow Energy Ltd
BPACB.AX	Brookfield Prime Property Fund
BPG.AX	Byte Power Group Ltd
BPH.AX	BioPharmica Ltd
BPHO.AX	BPHO
BPK.AX	Bremer Park Ltd
BPL.AX	Broken Hill Prospecting Limited
BPLOA.AX	Broken Hill Prospecting Limited
BPO.AX	BioProspect Ltd
BPOO.AX	BPOO
BPT.AX	Beach Petroleum Ltd
BRC.AX	Brain Resource Company Ltd (The)
BRD.AX	Black Ridge Mining Ltd
BRG.AX	Breville Group Ltd
BRM.AX	Brockman Resources Ltd
BRO.AX	BroadTel Communications Ltd
BRU.AX	Buru Energy Ltd
BRW.AX	Breakaway Resources Ltd
BSA.AX	Broadcast Services Australia Ltd
BSE.AX	BSE
BSI.AX	Beyond Sportswear International Ltd
BSL.AX	BlueScope Steel Ltd
BSLKZS.AX	Bluescope Steel Limited
BSM.AX	Bass Metals Ltd
BSN.AX	Bisan Ltd
BSR.AX	Bassari Resources Ltd
BSRO.AX	Bassari Resources Limited
BTA.AX	Biota Holdings Ltd
BTC.AX	BioTech Capital Ltd
BTN.AX	Brighton Mining Group Limited
BTR.AX	Blackthorn Resources Ltd
BTT.AX	BT Investment Management Ltd
BTU.AX	Bathurst Resources Ltd
BUG.AX	Buderim Ginger Ltd
BUL.AX	Blue Energy Ltd
BUR.AX	Burleson Energy Ltd
BUROA.AX	Burleson Energy Limited
BUT.AX	BUT
BUTO.AX	Bright Star Resources Limited
BUX.AX	Buxton Resources Ltd
BUXO.AX	Buxton Resources Limited
BUY.AX	Bounty Oil & Gas NL
BVA.AX	Bravura Solutions Ltd
BWD.AX	BWD
BWN.AX	Bowen Energy Ltd
BWP.AX	Bunnings Warehouse Property Trust
BXB.AX	Brambles Ltd
BXBKZG.AX	Brambles Ltd
BXBKZP.AX	Brambles Ltd
BXBKZR.AX	Brambles Ltd
BXBMMI.AX	Brambles Ltd
BYI.AX	Beyond International Ltd
BYL.AX	Brierty Ltd
BYR.AX	Burey Gold Ltd
BYRO.AX	BYRO
BZL.AX	Braziron Limited
CAA.AX	Capral Aluminium Ltd
CAB.AX	Cabcharge Australia Ltd
CAF.AX	Centrepoint Alliance Ltd
CAH.AX	Catalpa Resources Ltd
CAHOB.AX	Catalpa Resources Ltd
CAJ.AX	Capitol Health Ltd
CAJO.AX	Capitol Health Limited
CAM.AX	Clime Capital Ltd
CAMPA.AX	Clime Capital Ltd
CAP.AX	Carpentaria Exploration Ltd
CAQ.AX	Cell Aquaculture Ltd
CAS.AX	Crusader Holdings NL
CAV.AX	Carnavale Resources Ltd
CAVO.AX	Carnavale Resources Ltd
CAY.AX	Canyon Resources Ltd
CAZ.AX	Cazaly Resources Ltd
CAZO.AX	CAZO
CBA.AX	Commonwealth Bank Ltd
CBAKZA.AX	Commonwealth Bank Of Australia.
CBAKZK.AX	Commonwealth Bank Ltd
CBAKZO.AX	Commonwealth Bank Ltd
CBAKZR.AX	Commonwealth Bank Of Australia.
CBAMMH.AX	Commonwealth Bank Ltd
CBAMMI.AX	Commonwealth Bank Ltd
CBAPA.AX	CBAPA
CBAPB.AX	Commonwealth Bank Ltd
CBAUMA.AX	Commonwealth Bank Of Australia.
CBAUMR.AX	Commonwealth Bank Of Australia.
CBB.AX	Cordlife Ltd
CBD.AX	CBD Energy Ltd
CBP.AX	Carbon Polymers Limited
CBS.AX	Cabral Resources Limited
CBX.AX	CBX
CBZ.AX	Cbio Limited
CCC.AX	Continental Coal Limited
CCCO.AX	Continental Coal Limited
CCD.AX	Caledon Resources PLC
CCF.AX	Carbon Conscious Ltd
CCK.AX	CCK Financial Solutions Ltd
CCL.AX	Coca-Cola Amatil Ltd
CCLKZA.AX	Coca-Cola Amatil Ltd
CCLMMI.AX	Coca-Cola Amatil Ltd
CCP.AX	Credit Corp Group Ltd
CCQ.AX	Contango Capital Partners Ltd
CCU.AX	Cobar Consolidated Resources Ltd
CCV.AX	Cash Converters International Ltd
CCY.AX	China Century Capital Ltd
CCYG.AX	China Century Capital Ltd
CDA.AX	Codan Ltd
CDB.AX	Condor Blanco Mines Limited
CDD.AX	Cardno Ltd
CDG.AX	Cleveland Mining Company Limited
CDH.AX	Chongherr Investments Ltd
CDI.AX	Challenger Diversified Property Group
CDL.AX	Canada Land Ltd (HK)
CDM.AX	Cadence Capital Ltd
CDP.AX	Carindale Property Trust
CDT.AX	Castle Minerals Ltd
CDU.AX	CuDeco Ltd
CDY.AX	Cellmid Limited
CEG.AX	CEC Group Ltd
CEL.AX	CEL
CELO.AX	CELO
CEO.AX	C Ltd
CEOO.AX	CEOO
CER.AX	Centro Retail Group
CES.AX	Coal Fe Resources Ltd
CEU.AX	ConnectEast Group (CEUCA)
CFE.AX	Cape Lambert Iron Ore Ltd
CFR.AX	Cluff Resources Pacific NL
CFROB.AX	Cluff Resources Pacific Nl
CFU.AX	Ceramic Fuel Cells Ltd
CFX.AX	CFS Retail Property Trust
CGF.AX	Challenger Financial Services Group
CGI.AX	Consolidated Global Investments Ltd
CGM.AX	Cougar Metals NL
CGO.AX	CPT Global Ltd
CGR.AX	Careers Multilist Limited
CGS.AX	Cogstate Ltd
CGT.AX	Castlemaine Goldfields Ltd
CGV.AX	Clean Global Energy Limited
CGX.AX	Central Asia Gold Ltd
CHC.AX	Charter Hall Group
CHF.AX	Charter Pacific Corporation Ltd
CHM.AX	Chameleon Mining NL
CHN.AX	Chalice Gold Mines Ltd
CHP.AX	Chapmans Ltd
CHR.AX	Chalmers Ltd
CHZ.AX	Chesser Resources Ltd
CIF.AX	Challenger Infrastructure Fund
CIG.AX	Caspian Oil & Gas Ltd
CII.AX	CI Resources Ltd
CIL.AX	Centrebet International Ltd
CIN.AX	Carlton Investments Ltd
CINPA.AX	Carlton Investments PA
CIR.AX	Circadian Technologies Ltd
CIW.AX	Clime Investment Management Ltd
CIX.AX	Calliden Group Ltd
CJO.AX	CJO
CJT.AX	CVC Trinity Property Fund
CKA.AX	Cokal Limited
CKAO.AX	Cokal Limited
CKK.AX	Coretrack Ltd
CKKOA.AX	Coretrack Limited
CKL.AX	Colorpak Ltd
CKP.AX	Cheviot Kirribilly Vineyard Property Group
CLH.AX	Collection House Ltd
CLO.AX	Clough Ltd
CLQ.AX	Clean Teq Holdings Ltd
CLR.AX	Carabella Resources Limited
CLS.AX	Celsius House Trust merger with MOF
CLT.AX	Cellnet Group Ltd
CLU.AX	Cloncurry Metals Ltd
CLV.AX	Clover Corporation Ltd
CLX.AX	CTI Logistics Ltd
CLY.AX	Clancy Exploration Ltd
CLYO.AX	Clancy Exploration Limited
CMC.AX	China Magnesium Corporation Limited
CMG.AX	Commonwealth Installment Receipts Trst
CMI.AX	CMI Ltd
CMIPC.AX	CMI Ltd
CMJ.AX	Consolidated Media Holdings Ltd
CMJKZC.AX	Consolidated Media Holdings Ltd
CMP.AX	Compumedics Ltd
CMQ.AX	Chemeq Ltd
CMR.AX	Compass Resources NL
CMV.AX	CMA Corporation Ltd
CMW.AX	Cromwell Corporation Ltd
CMY.AX	Capital Mining Ltd
CMYOA.AX	Capital Mining Limited
CNA.AX	Coal & Allied Industries Ltd
CNB.AX	Canberra Investment Corporation Ltd
CNC.AX	Consolidated Capital Investments Ltd
CND.AX	Candle Australia Ltd
CNH.AX	China Steel Australia Ltd
CNK.AX	Condor Nickel Ltd
CNL.AX	CNL
CNLCA.AX	CNLCA
CNLO.AX	CNLO
CNN.AX	Cardia Technologies Ltd
CNNO.AX	Cardia Technologies Ltd
CNP.AX	Centro Properties Group
CNR.AX	Coonawarra Australia Property Trust
CNS.AX	Centius Gold Limited
CNX.AX	Carbon Energy Ltd
COE.AX	Cooper Energy Ltd
COF.AX	Coffey International Ltd
COH.AX	Cochlear Ltd
COHKZB.AX	Cochlear Ltd
COI.AX	Comet Ridge Ltd
COJ.AX	COJ
COK.AX	Cockatoo Coal Ltd
COM.AX	ComOps Ltd
COO.AX	Cosmos Ltd
COU.AX	Count Financial Ltd
COY.AX	Coppermoly Ltd
COYO.AX	Coppermoly Ltd
COYOA.AX	Coppermoly Limited
COZ.AX	CO2 Group Ltd
COZO.AX	COZO
CPA.AX	Commonwealth Property Office Fund
CPB.AX	Campbell Brothers Ltd
CPI.AX	CPI Group Ltd
CPK.AX	CP1 Ltd
CPL.AX	Coalspur Mines Limited
CPLO.AX	Coalspur Mines Limited
CPN.AX	Carpathian Resources Ltd
CPS.AX	Computronics Holdings Ltd
CPU.AX	Computershare Ltd
CPUKZB.AX	Computershare Ltd
CPZ.AX	Car Parking Technologies Limited
CQO.AX	Charter Hall Office Reit
CQR.AX	Charter Hall Retail Reit
CQT.AX	Conquest Mining Ltd
CRB.AX	Carbine Resources Ltd
CRBO.AX	Carbine Resources Limited
CRC.AX	Corttona Resources Ltd
CRCO.AX	CRCO
CRE.AX	Crescent Gold Ltd
CRG.AX	Crane Group Ltd
CRJ.AX	Copper Range Ltd
CRJO.AX	CRJO
CRK.AX	Carrick Gold Ltd
CRL.AX	Comet Resources Ltd
CRM.AX	Carbon Minerals NL (CRMCA)
CRZ.AX	Carsales.com Limited
CSD.AX	Consolidated Tin Mines Ltd
CSDO.AX	Consolidated Tin Mines Ltd
CSE.AX	Copper Strike Ltd
CSJ.AX	Credit Suisse GP100 - Australia Trust
CSL.AX	CSL Ltd
CSLKZG.AX	CSL Ltd
CSLKZH.AX	CSL Ltd
CSLKZI.AX	Csl Limited
CSLKZQ.AX	CSL Ltd
CSLKZV.AX	CSL Ltd
CSLMMI.AX	CSL Ltd
CSR.AX	CSR Ltd
CSRKZA.AX	Csr Limited
CSRKZP.AX	Csr Limited
CSS.AX	Clean Seas Tuna Ltd
CST.AX	Cellestis Ltd
CSU.AX	Credit Suisse PL100
CSV.AX	CSG Ltd
CSW.AX	Credit Suisse PL100
CTD.AX	Corporate Travel Management Limited
CTE.AX	Cryosite Ltd
CTM.AX	Centaurus Metals Limited
CTN.AX	Contango Microcap Ltd
CTO.AX	Citigold Corporation Ltd
CTP.AX	Central Petroleum Ltd
CTPO.AX	Central Petroleum Limited
CTX.AX	Caltex Australia Ltd
CTXKZF.AX	Caltex Australia Ltd
CTY.AX	Country Road Ltd
CUE.AX	Cue Energy Resources Ltd
CUL.AX	Cullen Resources Ltd
CUP.AX	Countplus Limited
CUS.AX	Customers Ltd
CUU.AX	Callabonna Uranium Ltd
CUV.AX	Clinuvel Pharmaceuticals Ltd
CUX.AX	Crossland Uranium Mines Ltd
CUY.AX	Curnamona Energy Ltd
CUYO.AX	Curnamona Energy Limited
CVA.AX	Clever Communictaions Australia Ltd
CVC.AX	CVC Ltd
CVE.AX	Cove Resources Limited
CVEO.AX	Cove Resources Limited
CVG.AX	Convergent Minerals Ltd
CVGO.AX	CVGO
CVGOA.AX	Convergent Minerals Limited
CVN.AX	Carnarvon Petroleum Ltd
CVR.AX	Central Asia Resources Ltd
CVS.AX	Cervantes Seafood Ltd
CVW.AX	Clearview Wealth Limited
CVY.AX	Coventry Resources Limited
CWE.AX	Carnegie Wave Energy Limited
CWG.AX	Central West Gold NL
CWK.AX	Coalworks Ltd
CWN.AX	Crown Ltd
CWNKZG.AX	Crown Ltd
